record_id,age_bracket,region,employment_type,payment_type,ato_annual_income,ato_calculated_fortnightly,reported_fortnightly_income,actual_fortnightly_income,income_variance_score,debt_raised_flag,estimated_debt_amount
CL1031,25-34,Metro - Sydney,Permanent Full-Time,Youth Allowance,65405,2515.58,2711.87,2655.88,5.6,0,0.0
CL1032,25-34,Metro - Sydney,Permanent Part-Time,Parenting Payment,30300,1165.38,1242.36,1213.93,4.2,0,0.0
CL1033,18-24,Metro - Melbourne,Permanent Part-Time,JobSeeker,25866,994.85,902.12,915.26,8.0,0,0.0
CL1034,25-34,Regional QLD,Seasonal,JobSeeker,23318,896.85,149.68,147.45,83.6,1,373.59
CL1035,35-44,Metro - Sydney,Permanent Full-Time,Parenting Payment,69696,2680.62,2639.99,2634.04,1.7,0,0.0
CL1036,55-64,Regional VIC,Permanent Part-Time,Disability Support,39107,1504.12,1472.89,1443.97,4.0,0,0.0
CL1037,55-64,Regional QLD,Casual,Disability Support,38213,1469.73,3132.87,3053.76,107.8,0,0.0
CL1038,18-24,Metro - Sydney,Self-Employed,JobSeeker,31535,1212.88,1399.17,1394.72,15.0,0,0.0
CL1039,25-34,Metro - Brisbane,Permanent Full-Time,JobSeeker,68445,2632.5,2685.88,2726.6,3.6,0,0.0
CL1040,25-34,Remote,Permanent Full-Time,Youth Allowance,43631,1678.12,1582.68,1598.65,4.7,0,0.0
CL1041,35-44,Metro - Melbourne,Permanent Part-Time,JobSeeker,42448,1632.62,1571.08,1612.17,1.3,0,0.0
CL1042,25-34,Regional QLD,Self-Employed,Youth Allowance,44638,1716.85,1716.58,1753.61,2.1,0,0.0
CL1043,55-64,Metro - Melbourne,Permanent Full-Time,JobSeeker,86309,3319.58,3508.82,3470.9,4.6,0,0.0
CL1044,45-54,Regional QLD,Permanent Full-Time,Parenting Payment,70817,2723.73,2775.47,2755.52,1.2,0,0.0
CL1045,18-24,Metro - Melbourne,Self-Employed,JobSeeker,38966,1498.69,1704.55,1737.99,16.0,0,0.0
CL1046,18-24,Metro - Brisbane,Casual,Youth Allowance,28529,1097.27,91.94,90.84,91.7,1,502.66
CL1047,25-34,Regional NSW,Seasonal,Parenting Payment,24282,933.92,1420.15,1395.42,49.4,0,0.0
CL1048,25-34,Metro - Melbourne,Permanent Full-Time,Parenting Payment,60496,2326.77,2371.45,2434.34,4.6,0,0.0
CL1049,18-24,Remote,Casual,Youth Allowance,23787,914.88,2661.48,2724.36,197.8,0,0.0
CL1050,35-44,Metro - Brisbane,Permanent Full-Time,Disability Support,69896,2688.31,2461.5,2489.33,7.4,0,0.0
CL1051,45-54,Regional VIC,Self-Employed,JobSeeker,50485,1941.73,2315.29,2380.36,22.6,0,0.0
CL1052,45-54,Regional NSW,Permanent Full-Time,Disability Support,77661,2986.96,2951.47,2975.71,0.4,0,0.0
CL1053,45-54,Metro - Sydney,Self-Employed,Disability Support,66350,2551.92,1194.96,1222.49,52.1,1,678.48
CL1054,25-34,Metro - Brisbane,Permanent Part-Time,Parenting Payment,36223,1393.19,1320.46,1307.52,6.1,0,0.0
CL1055,35-44,Regional NSW,Seasonal,Parenting Payment,25485,980.19,755.69,765.48,21.9,1,112.25
CL1056,18-24,Regional NSW,Seasonal,Youth Allowance,15736,605.23,1217.11,1196.03,97.6,0,0.0
CL1057,18-24,Remote,Seasonal,Youth Allowance,14894,572.85,587.51,572.0,0.1,0,0.0
CL1058,18-24,Metro - Melbourne,Casual,JobSeeker,22848,878.77,221.68,217.12,75.3,1,328.54
CL1059,45-54,Metro - Sydney,Permanent Part-Time,Disability Support,46563,1790.88,1739.51,1751.7,2.2,0,0.0
CL1060,18-24,Regional NSW,Permanent Part-Time,Youth Allowance,23372,898.92,900.22,904.28,0.6,0,0.0
CL1061,25-34,Metro - Melbourne,Casual,Parenting Payment,37535,1443.65,1502.23,1536.02,6.4,0,0.0
CL1062,45-54,Regional NSW,Seasonal,Disability Support,32162,1237.0,2774.26,2738.23,121.4,0,0.0
CL1063,35-44,Regional VIC,Casual,Disability Support,35630,1370.38,2550.09,2512.14,83.3,0,0.0
CL1064,18-24,Remote,Seasonal,Youth Allowance,14736,566.77,22.55,22.84,96.0,1,272.11
CL1065,25-34,Metro - Brisbane,Permanent Full-Time,Disability Support,58012,2231.23,2163.39,2178.68,2.4,0,0.0
CL1066,25-34,Metro - Melbourne,Casual,JobSeeker,37372,1437.38,1808.13,1816.84,26.4,0,0.0
CL1067,25-34,Remote,Seasonal,Youth Allowance,21222,816.23,642.16,647.92,20.6,1,87.04
CL1068,35-44,Remote,Casual,Parenting Payment,35581,1368.5,3715.46,3628.84,165.2,0,0.0
CL1069,18-24,Regional NSW,Permanent Part-Time,JobSeeker,20667,794.88,744.77,760.04,4.4,0,0.0
CL1070,45-54,Regional NSW,Self-Employed,Disability Support,62455,2402.12,1638.75,1629.76,32.2,1,381.68
CL1071,18-24,Regional QLD,Permanent Full-Time,Youth Allowance,40711,1565.81,1610.11,1638.46,4.6,0,0.0
CL1072,35-44,Metro - Brisbane,Permanent Full-Time,Disability Support,89921,3458.5,3494.44,3510.96,1.5,0,0.0
CL1073,35-44,Remote,Permanent Full-Time,JobSeeker,71041,2732.35,2660.14,2616.0,4.3,0,0.0
CL1074,25-34,Regional QLD,Permanent Full-Time,JobSeeker,62827,2416.42,2576.73,2558.11,5.9,0,0.0
CL1075,35-44,Metro - Melbourne,Permanent Full-Time,Parenting Payment,72499,2788.42,2660.04,2714.14,2.7,0,0.0
CL1076,35-44,Regional VIC,Self-Employed,Parenting Payment,47870,1841.15,787.34,796.37,56.7,1,526.9
CL1077,35-44,Regional VIC,Permanent Full-Time,JobSeeker,79276,3049.08,2784.01,2856.68,6.3,0,0.0
CL1078,35-44,Regional QLD,Seasonal,JobSeeker,25491,980.42,2659.2,2612.76,166.5,0,0.0
CL1079,25-34,Regional VIC,Seasonal,JobSeeker,21315,819.81,1321.19,1294.05,57.8,0,0.0
CL1080,25-34,Remote,Casual,JobSeeker,32163,1237.04,1380.39,1407.75,13.8,0,0.0
CL1081,45-54,Regional VIC,Self-Employed,JobSeeker,56297,2165.27,2888.49,2891.35,33.5,0,0.0
CL1082,18-24,Regional NSW,Seasonal,Youth Allowance,14793,568.96,812.74,815.15,43.3,0,0.0
CL1083,18-24,Remote,Casual,Youth Allowance,17848,686.46,813.24,827.53,20.6,0,0.0
CL1084,35-44,Remote,Casual,JobSeeker,39189,1507.27,2942.25,2997.82,98.9,0,0.0
CL1085,25-34,Metro - Melbourne,Casual,Youth Allowance,39010,1500.38,2944.38,2893.52,92.9,0,0.0
CL1086,18-24,Metro - Sydney,Permanent Full-Time,Youth Allowance,49102,1888.54,1790.06,1807.0,4.3,0,0.0
CL1087,25-34,Regional QLD,Casual,JobSeeker,30588,1176.46,436.37,441.25,62.5,1,370.05
CL1088,25-34,Regional QLD,Casual,Parenting Payment,29709,1142.65,2909.56,2828.67,147.6,0,0.0
CL1089,55-64,Regional VIC,Casual,Disability Support,35568,1368.0,2060.02,2034.63,48.7,0,0.0
CL1090,45-54,Metro - Melbourne,Permanent Full-Time,Disability Support,87704,3373.23,3451.1,3530.26,4.7,0,0.0
CL1091,18-24,Remote,Seasonal,JobSeeker,13278,510.69,827.99,805.49,57.7,0,0.0
CL1092,25-34,Metro - Brisbane,Self-Employed,Youth Allowance,48026,1847.15,2589.93,2661.21,44.1,0,0.0
CL1093,25-34,Metro - Melbourne,Casual,Disability Support,34112,1312.0,2314.32,2301.05,75.4,0,0.0
CL1094,18-24,Regional VIC,Permanent Part-Time,Youth Allowance,21362,821.62,892.46,873.58,6.3,0,0.0
CL1095,18-24,Regional NSW,Permanent Part-Time,Youth Allowance,23302,896.23,937.57,954.11,6.5,0,0.0
CL1096,35-44,Regional QLD,Permanent Full-Time,JobSeeker,62515,2404.42,2364.84,2377.89,1.1,0,0.0
CL1097,25-34,Regional QLD,Seasonal,JobSeeker,23553,905.88,1687.8,1669.03,84.2,0,0.0
CL1098,35-44,Metro - Brisbane,Casual,Parenting Payment,50968,1960.31,4062.68,4027.01,105.4,0,0.0
CL1099,18-24,Metro - Brisbane,Seasonal,JobSeeker,17150,659.62,1375.4,1393.07,111.2,0,0.0
CL1100,25-34,Metro - Sydney,Permanent Part-Time,JobSeeker,31863,1225.5,1104.57,1098.11,10.4,0,0.0
CL1101,18-24,Regional NSW,Seasonal,Youth Allowance,14714,565.92,1589.23,1580.97,179.4,0,0.0
CL1102,25-34,Metro - Sydney,Self-Employed,Parenting Payment,42672,1641.23,1510.88,1488.0,9.3,0,0.0
CL1103,25-34,Regional NSW,Casual,JobSeeker,37313,1435.12,3962.22,3853.76,168.5,0,0.0
CL1104,35-44,Regional NSW,Permanent Part-Time,JobSeeker,40732,1566.62,1432.35,1450.78,7.4,0,0.0
CL1105,18-24,Regional NSW,Seasonal,Youth Allowance,15125,581.73,291.79,293.48,49.5,1,144.97
CL1106,45-54,Regional VIC,Seasonal,JobSeeker,28013,1077.42,292.6,290.46,73.0,1,392.41
CL1107,25-34,Regional NSW,Casual,Parenting Payment,32951,1267.35,2315.01,2287.8,80.5,0,0.0
CL1108,35-44,Metro - Sydney,Permanent Full-Time,Parenting Payment,84184,3237.85,3416.97,3456.22,6.7,0,0.0
CL1109,55-64,Metro - Sydney,Permanent Part-Time,JobSeeker,44843,1724.73,1673.73,1641.03,4.9,0,0.0
CL1110,35-44,Regional NSW,Self-Employed,JobSeeker,51890,1995.77,2077.35,2079.53,4.2,0,0.0
CL1111,18-24,Regional NSW,Permanent Part-Time,Youth Allowance,24487,941.81,764.73,748.38,20.5,1,88.54
CL1112,35-44,Metro - Brisbane,Casual,Disability Support,48993,1884.35,2.54,2.51,99.9,1,940.9
CL1113,45-54,Remote,Seasonal,Disability Support,22468,864.15,1376.19,1371.92,58.8,0,0.0
CL1114,55-64,Regional VIC,Casual,Disability Support,43348,1667.23,339.11,332.02,80.1,1,664.06
CL1115,35-44,Regional NSW,Permanent Full-Time,Parenting Payment,76207,2931.04,2895.51,2915.44,0.5,0,0.0
CL1116,18-24,Regional QLD,Seasonal,Youth Allowance,18249,701.88,348.78,352.33,49.8,1,176.55
CL1117,18-24,Metro - Sydney,Seasonal,Youth Allowance,17965,690.96,1212.98,1201.82,73.9,0,0.0
CL1118,25-34,Metro - Melbourne,Permanent Full-Time,Parenting Payment,67196,2584.46,2516.03,2542.18,1.6,0,0.0
CL1119,25-34,Regional QLD,Seasonal,JobSeeker,23631,908.88,2492.9,2564.31,182.1,0,0.0
CL1120,25-34,Metro - Sydney,Permanent Full-Time,Parenting Payment,59502,2288.54,2259.72,2316.66,1.2,0,0.0
CL1121,25-34,Metro - Sydney,Casual,Parenting Payment,33207,1277.19,19.03,19.23,98.5,1,629.08
CL1122,18-24,Metro - Sydney,Permanent Full-Time,JobSeeker,47238,1816.85,1636.31,1669.36,8.1,0,0.0
CL1123,35-44,Metro - Sydney,Permanent Part-Time,JobSeeker,41771,1606.58,1499.33,1491.89,7.1,0,0.0
CL1124,25-34,Metro - Melbourne,Permanent Part-Time,JobSeeker,29166,1121.77,1215.82,1203.0,7.2,0,0.0
CL1125,55-64,Metro - Melbourne,Permanent Full-Time,Disability Support,71045,2732.5,2523.76,2455.68,10.1,0,0.0
CL1126,25-34,Regional QLD,Permanent Part-Time,Parenting Payment,29055,1117.5,1040.19,1035.72,7.3,0,0.0
CL1127,18-24,Regional VIC,Permanent Part-Time,Youth Allowance,23888,918.77,920.1,925.89,0.8,0,0.0
CL1128,35-44,Metro - Sydney,Permanent Part-Time,Parenting Payment,36145,1390.19,1292.97,1262.36,9.2,0,0.0
CL1129,45-54,Metro - Brisbane,Casual,JobSeeker,43175,1660.58,219.74,216.42,87.0,1,720.42
CL1130,35-44,Remote,Seasonal,Parenting Payment,26931,1035.81,1551.19,1556.72,50.3,0,0.0
CL1131,55-64,Regional VIC,Casual,JobSeeker,35915,1381.35,1756.17,1726.49,25.0,0,0.0
CL1132,55-64,Metro - Brisbane,Permanent Part-Time,Disability Support,36991,1422.73,1345.08,1319.38,7.3,0,0.0
CL1133,45-54,Regional NSW,Self-Employed,JobSeeker,60740,2336.15,2049.79,2019.0,13.6,0,0.0
CL1134,55-64,Metro - Melbourne,Seasonal,Parenting Payment,33521,1289.27,2145.92,2109.13,63.6,0,0.0
CL1135,25-34,Metro - Sydney,Permanent Full-Time,JobSeeker,69641,2678.5,2650.61,2688.98,0.4,0,0.0
CL1136,25-34,Regional NSW,Seasonal,Disability Support,20405,784.81,362.19,360.86,54.0,1,211.31
CL1137,45-54,Regional VIC,Permanent Part-Time,JobSeeker,43179,1660.73,1571.23,1605.94,3.3,0,0.0
CL1138,18-24,Metro - Sydney,Permanent Full-Time,Youth Allowance,52237,2009.12,2060.49,2106.54,4.8,0,0.0
CL1139,45-54,Regional NSW,Casual,Disability Support,41992,1615.08,4098.41,4005.78,148.0,0,0.0
CL1140,18-24,Regional QLD,Permanent Full-Time,Youth Allowance,46763,1798.58,1876.88,1883.28,4.7,0,0.0
CL1141,35-44,Metro - Melbourne,Seasonal,JobSeeker,31211,1200.42,1931.96,1943.84,61.9,0,0.0
CL1142,55-64,Metro - Melbourne,Self-Employed,Disability Support,50676,1949.08,2047.07,2083.05,6.9,0,0.0
CL1143,45-54,Regional QLD,Seasonal,JobSeeker,26156,1006.0,287.7,295.34,70.6,1,359.15
CL1144,25-34,Remote,Seasonal,Youth Allowance,18082,695.46,1836.4,1825.88,162.5,0,0.0
CL1145,18-24,Metro - Brisbane,Seasonal,JobSeeker,16839,647.65,216.3,222.63,65.6,1,215.67
CL1146,35-44,Metro - Sydney,Permanent Full-Time,Parenting Payment,67695,2603.65,2584.8,2597.12,0.3,0,0.0
CL1147,25-34,Metro - Sydney,Casual,Youth Allowance,37047,1424.88,383.29,373.31,73.8,1,520.8
CL1148,45-54,Metro - Sydney,Casual,Disability Support,44344,1705.54,1498.16,1454.64,14.7,0,0.0
CL1149,18-24,Remote,Casual,Youth Allowance,23342,897.77,37.97,37.72,95.8,1,429.9
CL1150,35-44,Metro - Sydney,Permanent Full-Time,Parenting Payment,84241,3240.04,3300.24,3323.99,2.6,0,0.0
CL1151,18-24,Regional VIC,Casual,Youth Allowance,20632,793.54,2222.43,2202.49,177.6,0,0.0
CL1152,25-34,Remote,Seasonal,Parenting Payment,21944,844.0,2278.51,2292.44,171.6,0,0.0
CL1153,35-44,Regional QLD,Permanent Full-Time,JobSeeker,67068,2579.54,2675.91,2747.26,6.5,0,0.0
CL1154,35-44,Remote,Permanent Full-Time,JobSeeker,59416,2285.23,2441.62,2497.04,9.3,0,0.0
CL1155,18-24,Metro - Sydney,Permanent Part-Time,Youth Allowance,21901,842.35,778.35,766.83,9.0,0,0.0
CL1156,25-34,Remote,Self-Employed,JobSeeker,36438,1401.46,1931.77,1978.83,41.2,0,0.0
CL1157,18-24,Regional VIC,Permanent Part-Time,Youth Allowance,19181,737.73,789.81,777.56,5.4,0,0.0
CL1158,35-44,Regional VIC,Permanent Part-Time,JobSeeker,39735,1528.27,1417.74,1407.46,7.9,0,0.0
CL1159,55-64,Regional QLD,Seasonal,JobSeeker,28429,1093.42,103.83,102.58,90.6,1,494.8
CL1160,18-24,Metro - Brisbane,Self-Employed,JobSeeker,31924,1227.85,1154.55,1138.1,7.3,0,0.0
CL1161,18-24,Metro - Sydney,Permanent Full-Time,Youth Allowance,46149,1774.96,1710.9,1746.81,1.6,0,0.0
CL1162,35-44,Metro - Brisbane,Casual,Parenting Payment,39484,1518.62,125.18,124.3,91.8,1,696.72
CL1163,25-34,Regional QLD,Permanent Full-Time,JobSeeker,58856,2263.69,2197.64,2196.01,3.0,0,0.0
CL1164,35-44,Metro - Brisbane,Permanent Part-Time,JobSeeker,41632,1601.23,1675.15,1658.52,3.6,0,0.0
CL1165,25-34,Metro - Sydney,Permanent Full-Time,Disability Support,59054,2271.31,2492.81,2453.92,8.0,0,0.0
CL1166,35-44,Metro - Brisbane,Permanent Full-Time,JobSeeker,71495,2749.81,2651.52,2670.72,2.9,0,0.0
CL1167,18-24,Regional QLD,Permanent Part-Time,Youth Allowance,20785,799.42,691.74,694.4,13.1,0,0.0
CL1168,35-44,Regional NSW,Self-Employed,Parenting Payment,54412,2092.77,2854.78,2819.34,34.7,0,0.0
CL1169,55-64,Regional NSW,Permanent Part-Time,JobSeeker,31656,1217.54,1360.77,1345.46,10.5,0,0.0
CL1170,25-34,Metro - Brisbane,Permanent Full-Time,Parenting Payment,66528,2558.77,2516.46,2512.85,1.8,0,0.0
CL1171,25-34,Regional NSW,Seasonal,Parenting Payment,24033,924.35,304.93,304.37,67.1,1,309.71
CL1172,35-44,Metro - Melbourne,Self-Employed,JobSeeker,66289,2549.58,2750.31,2809.92,10.2,0,0.0
CL1173,45-54,Metro - Melbourne,Permanent Full-Time,JobSeeker,72252,2778.92,2758.02,2685.31,3.4,0,0.0
CL1174,25-34,Regional QLD,Casual,Youth Allowance,31974,1229.77,2604.61,2583.64,110.1,0,0.0
CL1175,35-44,Regional VIC,Permanent Part-Time,Disability Support,36119,1389.19,1217.94,1196.66,13.9,0,0.0
CL1176,18-24,Regional VIC,Permanent Full-Time,Youth Allowance,40590,1561.15,1540.48,1582.55,1.4,0,0.0
CL1177,35-44,Remote,Casual,Youth Allowance,30854,1186.69,2002.88,1993.27,68.0,0,0.0
CL1178,55-64,Remote,Seasonal,JobSeeker,23425,900.96,283.47,283.45,68.5,1,308.75
CL1179,35-44,Metro - Sydney,Permanent Part-Time,Parenting Payment,47849,1840.35,2012.02,2069.24,12.4,0,0.0
CL1180,35-44,Regional QLD,Casual,JobSeeker,35625,1370.19,1964.96,1975.78,44.2,0,0.0
CL1181,35-44,Metro - Brisbane,Casual,JobSeeker,42863,1648.58,475.06,478.32,71.0,1,586.76
CL1182,45-54,Metro - Brisbane,Casual,Parenting Payment,52430,2016.54,597.91,611.06,69.7,1,709.32
CL1183,35-44,Metro - Brisbane,Permanent Full-Time,Parenting Payment,70384,2707.08,2840.84,2805.68,3.6,0,0.0
CL1184,45-54,Metro - Sydney,Permanent Full-Time,JobSeeker,90580,3483.85,3374.0,3326.35,4.5,0,0.0
CL1185,35-44,Regional QLD,Self-Employed,JobSeeker,53376,2052.92,844.04,869.16,57.7,1,604.44
CL1186,55-64,Metro - Brisbane,Permanent Full-Time,JobSeeker,75289,2895.73,2833.54,2907.3,0.4,0,0.0
CL1187,18-24,Remote,Seasonal,Youth Allowance,15212,585.08,1393.36,1362.59,132.9,0,0.0
CL1188,18-24,Regional VIC,Permanent Full-Time,JobSeeker,45278,1741.46,1817.41,1788.32,2.7,0,0.0
CL1189,18-24,Remote,Self-Employed,Youth Allowance,26750,1028.85,853.7,848.07,17.6,1,87.57
CL1190,35-44,Remote,Seasonal,JobSeeker,22651,871.19,1668.55,1635.66,87.7,0,0.0
CL1191,18-24,Metro - Brisbane,Casual,Youth Allowance,28804,1107.85,2157.26,2167.84,95.7,0,0.0
CL1192,25-34,Metro - Melbourne,Casual,Parenting Payment,34133,1312.81,3721.39,3709.25,182.5,0,0.0
CL1193,18-24,Metro - Sydney,Casual,Youth Allowance,23323,897.04,209.76,209.59,76.6,1,343.64
CL1194,35-44,Remote,Casual,Disability Support,34662,1333.15,17.99,18.49,98.6,1,657.58
CL1195,18-24,Regional VIC,Casual,JobSeeker,21514,827.46,43.18,42.63,94.8,1,392.14
CL1196,25-34,Metro - Brisbane,Casual,JobSeeker,40550,1559.62,1744.27,1723.02,10.5,0,0.0
CL1197,18-24,Regional NSW,Casual,Parenting Payment,21451,825.04,406.02,403.38,51.1,1,209.51
CL1198,25-34,Regional NSW,Permanent Full-Time,JobSeeker,49287,1895.65,1641.76,1649.7,13.0,0,0.0
CL1199,45-54,Remote,Seasonal,JobSeeker,25115,965.96,2191.71,2181.89,125.9,0,0.0
CL1200,35-44,Regional QLD,Permanent Full-Time,JobSeeker,64272,2472.0,2256.36,2313.89,6.4,0,0.0
CL1201,18-24,Metro - Brisbane,Permanent Full-Time,Youth Allowance,53656,2063.69,2146.96,2140.01,3.7,0,0.0
CL1202,25-34,Regional NSW,Seasonal,JobSeeker,21333,820.5,1291.21,1325.6,61.6,0,0.0
CL1203,35-44,Metro - Melbourne,Casual,Parenting Payment,48282,1857.0,42.93,42.81,97.7,1,907.03
CL1204,35-44,Remote,Seasonal,Parenting Payment,27489,1057.27,1247.68,1275.63,20.7,0,0.0
CL1205,25-34,Regional QLD,Seasonal,JobSeeker,19141,736.19,16.46,16.04,97.8,1,359.87
CL1206,25-34,Regional VIC,Casual,Parenting Payment,27958,1075.31,1592.53,1558.66,44.9,0,0.0
CL1207,18-24,Metro - Sydney,Seasonal,JobSeeker,17479,672.27,1733.77,1693.67,151.9,0,0.0
CL1208,35-44,Regional NSW,Permanent Part-Time,JobSeeker,35320,1358.46,1354.99,1389.79,2.3,0,0.0
CL1209,25-34,Regional NSW,Permanent Full-Time,Youth Allowance,57802,2223.15,2116.48,2139.43,3.8,0,0.0
CL1210,25-34,Metro - Sydney,Permanent Full-Time,JobSeeker,69031,2655.04,2718.31,2726.96,2.7,0,0.0
CL1211,55-64,Regional QLD,Seasonal,JobSeeker,24122,927.77,2710.62,2781.54,199.8,0,0.0
CL1212,25-34,Regional QLD,Casual,Youth Allowance,29160,1121.54,500.23,494.94,55.9,1,310.65
CL1213,45-54,Regional NSW,Permanent Full-Time,JobSeeker,69942,2690.08,2796.47,2816.26,4.7,0,0.0
CL1214,25-34,Regional VIC,Permanent Full-Time,JobSeeker,54817,2108.35,2023.8,2068.77,1.9,0,0.0
CL1215,25-34,Metro - Brisbane,Permanent Full-Time,Parenting Payment,57285,2203.27,2249.84,2218.47,0.7,0,0.0
CL1216,25-34,Regional NSW,Casual,Disability Support,35151,1351.96,1744.98,1733.34,28.2,0,0.0
CL1217,18-24,Regional QLD,Self-Employed,Youth Allowance,34790,1338.08,379.82,381.08,71.5,1,479.13
CL1218,55-64,Metro - Sydney,Casual,Disability Support,45218,1739.15,3549.6,3594.82,106.7,0,0.0
CL1219,45-54,Metro - Brisbane,Seasonal,Parenting Payment,33530,1289.62,2483.44,2541.17,97.0,0,0.0
CL1220,25-34,Metro - Melbourne,Casual,JobSeeker,35360,1360.0,2622.12,2548.27,87.4,0,0.0
CL1221,25-34,Metro - Melbourne,Permanent Part-Time,JobSeeker,39326,1512.54,1629.72,1608.6,6.4,0,0.0
CL1222,35-44,Regional VIC,Casual,JobSeeker,35227,1354.88,52.14,52.25,96.1,1,651.37
CL1223,35-44,Regional VIC,Permanent Part-Time,Parenting Payment,38327,1474.12,1626.63,1633.23,10.8,0,0.0
CL1224,18-24,Remote,Permanent Full-Time,JobSeeker,32832,1262.77,1397.33,1412.36,11.8,0,0.0
CL1225,45-54,Regional QLD,Permanent Part-Time,Disability Support,35965,1383.27,1503.8,1463.72,5.8,0,0.0
CL1226,35-44,Metro - Brisbane,Permanent Full-Time,JobSeeker,79261,3048.5,3034.85,3096.41,1.6,0,0.0
CL1227,25-34,Regional VIC,Permanent Full-Time,Youth Allowance,58823,2262.42,2388.14,2342.43,3.5,0,0.0
CL1228,55-64,Metro - Sydney,Permanent Full-Time,Disability Support,70262,2702.38,2512.59,2556.96,5.4,0,0.0
CL1229,18-24,Regional VIC,Casual,Youth Allowance,24347,936.42,465.35,465.83,50.3,1,235.53
CL1230,25-34,Remote,Seasonal,JobSeeker,20768,798.77,172.26,172.63,78.4,1,313.25
CL1231,35-44,Metro - Brisbane,Casual,JobSeeker,48269,1856.5,5559.35,5685.3,206.2,0,0.0
CL1232,25-34,Metro - Brisbane,Permanent Part-Time,JobSeeker,30327,1166.42,1075.54,1105.34,5.2,0,0.0
CL1233,55-64,Regional NSW,Seasonal,JobSeeker,28995,1115.19,3350.39,3306.52,196.5,0,0.0
CL1234,18-24,Metro - Melbourne,Casual,Youth Allowance,26640,1024.62,12.68,12.35,98.8,1,505.97
CL1235,35-44,Regional VIC,Casual,JobSeeker,34314,1319.77,418.51,410.07,68.9,1,450.63
